battery_count,battery_power_mw,battery_energy_mwh,usable_soc_headroom_mwh,activation_probability,mfrr_capacity_price_multiplier,stacked_total_value_eur,fcr_only_total_value_eur,delta_vs_fcr_only_eur,is_mfrr_worthwhile,stacked_local_savings_eur,stacked_local_savings_pct,stacked_fcr_revenue_eur,stacked_mfrr_capacity_revenue_eur,stacked_expected_mfrr_activation_revenue_eur,stacked_min_soc_mwh,stacked_max_soc_mwh,stacked_constraint_violation_count,stacked_savings_floor_pass,annualized_delta_eur,upfront_enablement_cost_eur,annual_operating_cost_eur,risk_buffer_eur,operating_days,confidence_factor,effective_operating_days,fixed_cost_burden_eur_per_day,target_payback_years,required_daily_delta_for_target_payback_eur,annual_net_incremental_value_eur,payback_years,payback_gap_to_target_eur_per_day
1,1.0,2.0,1.6,0.15,1.75,483.07586689044,512.4558565153417,-29.37998962490167,false,260.6005669411584,0.12657792572835197,198.1998558703343,23.84375,0.43169407894736833,0.2,1.7210526315789474,0,true,-7051.1975099764,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-14051.1975099764,,-79.37998962490167
1,1.0,2.0,1.6,0.15,2.0,478.8524258612474,512.4558565153417,-33.60343065409427,false,252.5797220658119,0.12268207116891244,182.54100971648816,43.3,0.43169407894736833,0.2,1.7210526315789474,0,true,-8064.823356982624,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-15064.823356982624,,-83.60343065409427
1,1.0,2.0,1.6,0.2,0.5,467.28367506625284,512.4558565153417,-45.17218144908884,false,253.4747239702442,0.12311678812258488,208.92085899074544,4.3125,0.5755921052631578,0.2,1.694736842105263,0,true,-10841.323547781321,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-17841.32354778132,,-95.17218144908884
1,1.0,2.0,1.6,0.2,0.75,469.43992506625284,512.4558565153417,-43.01593144908884,false,253.4747239702442,0.12311678812258488,208.92085899074544,6.46875,0.5755921052631578,0.2,1.694736842105263,0,true,-10323.823547781321,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-17323.82354778132,,-93.01593144908884
1,1.0,2.0,1.6,0.2,1.0,471.59617506625284,512.4558565153417,-40.85968144908884,false,253.4747239702442,0.12311678812258488,208.92085899074544,8.625,0.5755921052631578,0.2,1.694736842105263,0,true,-9806.323547781321,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16806.32354778132,,-90.85968144908884
1,1.0,2.0,1.6,0.2,1.25,473.75242506625284,512.4558565153417,-38.70343144908884,false,253.4747239702442,0.12311678812258488,208.92085899074544,10.78125,0.5755921052631578,0.2,1.694736842105263,0,true,-9288.823547781321,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16288.823547781321,,-88.70343144908884
1,1.0,2.0,1.6,0.2,1.5,475.90867506625284,512.4558565153417,-36.54718144908884,false,253.4747239702442,0.12311678812258488,208.92085899074544,12.9375,0.5755921052631578,0.2,1.694736842105263,0,true,-8771.323547781321,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-15771.323547781321,,-86.54718144908884
1,1.0,2.0,1.6,0.2,1.75,474.6319062527717,512.4558565153417,-37.82395026256995,false,249.28649682342984,0.12108249820930683,203.55106732407876,21.21875,0.5755921052631578,0.2,1.694736842105263,0,true,-9077.748063016788,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16077.748063016788,,-87.82395026256995
1,1.0,2.0,1.6,0.2,2.0,467.3598502651306,512.4558565153417,-45.096006250211076,false,238.59203698963483,0.1158880254633876,187.89222117023263,40.3,0.5755921052631578,0.2,1.694736842105263,0,true,-10823.041500050658,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-17823.04150005066,,-95.09600625021108
1,1.0,2.0,1.6,0.25,0.5,465.98819992890816,512.4558565153417,-46.46765658643352,false,247.77421063921975,0.12034795626048529,213.61949915810948,3.875,0.7194901315789473,0.2,1.668421052631579,0,true,-11152.237580744044,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-18152.237580744044,,-96.46765658643352
