_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1232786,2026-06-24T21:30:00,2026-06-24T19:30:00,SE1,90.11,EUR-MWh
1232774,2026-06-24T21:15:00,2026-06-24T19:15:00,SE3,187.58,EUR-MWh
1233480,2026-06-24T21:15:00,2026-06-24T19:15:00,SE2,110.04,EUR-MWh
1233072,2026-06-24T21:15:00,2026-06-24T19:15:00,SE1,108.39,EUR-MWh
1233599,2026-06-24T21:15:00,2026-06-24T19:15:00,SE4,258.56,EUR-MWh
1233281,2026-06-24T21:00:00,2026-06-24T19:00:00,SE2,113.72,EUR-MWh
1232560,2026-06-24T21:00:00,2026-06-24T19:00:00,SE3,209.88,EUR-MWh
1233548,2026-06-24T21:00:00,2026-06-24T19:00:00,SE4,298.19,EUR-MWh
1232909,2026-06-24T21:00:00,2026-06-24T19:00:00,SE1,111.98,EUR-MWh
1232922,2026-06-24T20:45:00,2026-06-24T18:45:00,SE3,182.93,EUR-MWh
1233518,2026-06-24T20:45:00,2026-06-24T18:45:00,SE2,94.56,EUR-MWh
1233259,2026-06-24T20:45:00,2026-06-24T18:45:00,SE1,93.28,EUR-MWh
1232429,2026-06-24T20:45:00,2026-06-24T18:45:00,SE4,264.39,EUR-MWh
1233478,2026-06-24T20:30:00,2026-06-24T18:30:00,SE3,181.17,EUR-MWh
1232445,2026-06-24T20:30:00,2026-06-24T18:30:00,SE2,105.94,EUR-MWh
1233754,2026-06-24T20:30:00,2026-06-24T18:30:00,SE4,250.06,EUR-MWh
1232480,2026-06-24T20:30:00,2026-06-24T18:30:00,SE1,104.4,EUR-MWh
1233297,2026-06-24T20:15:00,2026-06-24T18:15:00,SE4,250.09,EUR-MWh
1233079,2026-06-24T20:15:00,2026-06-24T18:15:00,SE1,110.28,EUR-MWh
1232423,2026-06-24T20:15:00,2026-06-24T18:15:00,SE3,184.18,EUR-MWh
1232690,2026-06-24T20:15:00,2026-06-24T18:15:00,SE2,111.97,EUR-MWh
1233055,2026-06-24T20:00:00,2026-06-24T18:00:00,SE4,250.16,EUR-MWh
1232918,2026-06-24T20:00:00,2026-06-24T18:00:00,SE3,193.71,EUR-MWh
1233153,2026-06-24T20:00:00,2026-06-24T18:00:00,SE1,128.98,EUR-MWh
1233684,2026-06-24T20:00:00,2026-06-24T18:00:00,SE2,131.13,EUR-MWh
1233716,2026-06-24T19:45:00,2026-06-24T17:45:00,SE1,113.97,EUR-MWh
1233083,2026-06-24T19:45:00,2026-06-24T17:45:00,SE4,366.91,EUR-MWh
1233660,2026-06-24T19:45:00,2026-06-24T17:45:00,SE2,115.68,EUR-MWh
1233689,2026-06-24T19:45:00,2026-06-24T17:45:00,SE3,246.97,EUR-MWh
1233938,2026-06-24T19:30:00,2026-06-24T17:30:00,SE2,115.64,EUR-MWh
1233637,2026-06-24T19:30:00,2026-06-24T17:30:00,SE1,113.98,EUR-MWh
1233164,2026-06-24T19:30:00,2026-06-24T17:30:00,SE3,194.95,EUR-MWh
1233702,2026-06-24T19:30:00,2026-06-24T17:30:00,SE4,266.74,EUR-MWh
1232606,2026-06-24T19:15:00,2026-06-24T17:15:00,SE3,180.09,EUR-MWh
1232904,2026-06-24T19:15:00,2026-06-24T17:15:00,SE4,238.11,EUR-MWh
1232850,2026-06-24T19:15:00,2026-06-24T17:15:00,SE2,115.63,EUR-MWh
1233163,2026-06-24T19:15:00,2026-06-24T17:15:00,SE1,113.97,EUR-MWh
